S.N.,District,Province,Latitude,Longitude
1,Achham,Sudur Paschim,29.107758,81.235442
2,Arghakhanchi,5,27.977663,83.128223
3,Baglung,Gandaki,28.276971,83.579071
4,Baitadi,Sudur Paschim,29.5186,80.4688
5,Bajhang,Sudur Paschim,29.7767,81.2519
6,Bajura,Sudur Paschim,29.6155,81.6035
7,Banke,5,28.051018,81.62859
8,Bara,2,27.1341,85.0649
9,Bardiya,5,28.3102,81.4279
10,Bhaktapur,Bagmati,27.671,85.4298
11,Bhojpur,1,27.1891,87.0224
12,Chitwan,Bagmati,27.5291,84.3542
13,Dadeldhura,Sudur Paschim,29.2188,80.4994
14,Dailekh,Karnali,28.9262,81.6473
15,Dang,5,27.9904,82.3018
16,Darchula,Sudur Paschim,29.8812,80.7658
17,Dhading,Bagmati,27.9711,84.8985
18,Dhankuta,1,27.0074,87.3414
19,Dhanusa,2,26.835,86.0122
20,Dolakha,Bagmati,27.7784,86.1752
21,Dolpa,Karnali,29.0539,83.0791
22,Doti,Sudur Paschim,29.2006,80.8987
23,Gorkha,Gandaki,28.4764,84.6897
24,Gulmi,5,28.0889,83.2934
25,Humla,Karnali,30.0052,81.9535
26,Ilam,1,26.876,87.9335
27,Jajarkot,Karnali,28.8651,82.1714
28,Jhapa,1,26.6398,87.8942
29,Jumla,Karnali,29.2788,82.1278
30,Kailali,Sudur Paschim,28.8314,80.8987
31,Kalikot,Karnali,29.2089,81.7349
32,Kanchanpur,Sudur Paschim,28.8372,80.3213
33,Kapilbastu,5,27.6542,82.9932
34,Kaski,Gandaki,28.2622,84.0167
35,Kathmandu,Bagmati,27.7307,85.3756
36,Kavrepalanchok,Bagmati,27.5259,85.5612
37,Khotang,1,27.2317,86.822
38,Lalitpur,Bagmati,27.542,85.3343
39,Lamjung,Gandaki,28.2765,84.3542
40,Mahottari,2,26.6943,85.823
41,Makwanpur,Bagmati,27.5546,85.0233
42,Manang,Gandaki,28.6667,84.0167
43,Morang,1,26.6799,87.4604
44,Mugu,Karnali,29.5069,82.0843
45,Mustang,Gandaki,28.9985,83.8473
46,Myagdi,Gandaki,28.6029,83.3362
47,Nawalparasi East,Gandaki,27.786141,84.122228
48,Nawalparasi West,5,27.607916,83.729627
49,Nuwakot,Bagmati,27.8866,85.1479
50,Okhaldhunga,1,27.3619,86.3782
51,Palpa,5,27.8253,83.6348
52,Panchthar,1,27.2036,87.8157
53,Parbat,Gandaki,28.178,83.6987
54,Parsa,2,27.1736,84.8568
55,Pyuthan,5,28.1017,82.8533
56,Ramechhap,Bagmati,27.3193,86.1039
57,Rasuwa,Bagmati,28.1727,85.3136
58,Rautahat,2,27.0487,85.3136
59,Rolpa,5,28.3816,82.6483
60,Rukum East,5,28.812783,82.418485
61,Rukum West,Karnali,28.594269,82.665031
62,Rupandehi,5,27.6264,83.3789
63,Salyan,Karnali,28.3525,82.1278
64,Sankhuwasabha,1,27.6142,87.1423
65,Saptari,2,26.6173,86.7014
66,Sarlahi,2,26.9627,85.5612
67,Sindhuli,Bagmati,27.2569,85.9713
68,Sindhupalchok,Bagmati,27.9512,85.6846
69,Siraha,2,26.6397,86.1853
70,Solukhumbu,1,27.791,86.6611
71,Sunsari,1,26.6276,87.1822
72,Surkhet,Karnali,28.5175,81.7787
73,Syangja,Gandaki,28.0197,83.8049
74,Tanahu,Gandaki,27.9447,84.2279
75,Taplejung,1,27.354,87.668
76,Terhathum,1,27.1984,87.5
77,Udayapur,1,26.8998,86.7014
