dis_code,District,cases,Latitude_dist,Longitude_dist
1,Taplejung,16,87.82179927135704,27.58212356597509
2,Panchthar,8,87.77579807095165,27.114999613984395
3,Ilam,86,87.90156852180151,26.881160914669856
4,Jhapa,394,87.91323301163462,26.58454270753889
5,Morang,895,87.47019221726812,26.617486100455462
6,Sunsari,330,87.17004295990401,26.65061352129045
7,Dhankuta,17,87.33094988258415,26.990930640958236
8,Terhathum,9,87.5489515139999,27.15438825157303
9,Bhojpur,8,87.06789158534279,27.181814756262927
10,Sankhuwasabha,16,87.2782123206502,27.58212973365446
11,Solukhumbu,8,86.72051571046595,27.71052185331256
12,Khotang,26,86.78703712216247,27.16810228051496
13,Okhaldhunga,26,86.41865849345893,27.329502044267212
14,Udayapur,109,86.68134767726373,26.90308014899322
15,Siraha,273,86.34242043781619,26.74645805665663
16,Saptari,659,86.7461376563257,26.598120783222694
17,Dhanusa,1075,86.03388019638834,26.82874155006638
18,Mahottari,1044,85.81991252749117,26.87913299056696
19,Sarlahi,1022,85.56531220869545,26.986159229293165
20,Sindhuli,46,85.94376814650762,27.20146689162705
21,Ramechhap,56,86.17737024301981,27.51361408075647
22,Dolakha,26,86.19861865752415,27.785721137068425
23,Rasuwa,13,85.41594692791568,28.183248202537012
24,Sindhupalchok,74,85.73962867740835,27.91497245528677
25,Nuwakot,65,85.23538711779086,27.915073265545026
26,Dhading,167,84.96016032720414,27.95470746839677
27,Kathmandu,1611,85.34735132692755,27.728201081500877
28,Lalitpur,228,85.34268866827021,27.53968576100482
29,Bhaktapur,124,85.44078719752078,27.677690383606485
30,Kavrepalanchok,59,85.61948290583136,27.535356393143648
31,Makwanpur,195,85.07919101599765,27.46996511067159
32,Rautahat,1623,85.30233086363795,27.00157408229383
33,Bara,367,85.07064142997248,27.10795953654191
34,Parsa,1318,84.7801630348537,27.239687355458578
35,Chitwan,212,84.43453047394196,27.584942259802776
37,Rupandehi,445,83.38955026950569,27.57667811567025
38,Kapilbastu,986,82.9814859011405,27.62780374249157
39,Palpa,567,83.62365185219312,27.81737243284483
40,Arghakhanchi,399,83.07931919696372,27.908546382344674
41,Gulmi,376,83.30702478352003,28.0938944697723
42,Syangja,358,83.80321443774628,28.0211067236042
43,Tanahu,209,84.25119463325599,27.955370177536444
44,Gorkha,133,84.79017695666025,28.318827196979157
45,Lamjung,120,84.43005349109238,28.289315668818336
46,Kaski,242,83.9973481375455,28.354946496492463
47,Manang,1,84.22451544738435,28.672919154212924
48,Mustang,1,83.85787282576845,28.981314491461877
49,Myagdi,52,83.45999324326222,28.55314670436513
50,Baglung,306,83.25046309844504,28.347502509289278
51,Parbat,103,83.67889009696688,28.21130031987063
52,Dang,732,82.41038219013221,27.9641441834616
53,Pyuthan,398,82.86502527526966,28.11545386122936
54,Rolpa,71,82.62805588402239,28.3441663491406
55,Salyan,245,82.13874784335462,28.39649855398913
57,Dolpa,5,83.05217011480939,29.170655636885265
58,Mugu,12,82.37059299567566,29.618074811643748
59,Humla,5,81.87986556263559,30.032322376583448
60,Jumla,83,82.21726673306102,29.2717137976417
61,Kalikot,77,81.75203278875941,29.195115462213877
62,Jajarkot,30,82.16787118974287,28.865380352837356
63,Dailekh,1006,81.67887551495463,28.881388856821488
64,Surkhet,684,81.58640782129241,28.641183310260917
65,Bardiya,284,81.40151534237341,28.383668908446907
66,Banke,759,81.82228931219758,28.087169830604648
67,Kailali,1298,80.87922460540291,28.741641922944602
68,Doti,743,80.89456957808088,29.16964209002901
69,Achham,503,81.29711239175032,29.11256817441899
70,Bajura,582,81.56316251291287,29.561322426006946
71,Bajhang,277,81.17871770328547,29.70824516295018
72,Darchula,45,80.7918926088294,29.89194957501019
73,Baitadi,261,80.5715166401557,29.507541031228143
74,Dadeldhura,286,80.48906942024193,29.223121930278026
75,Kanchanpur,583,80.32179602711126,28.861823786795433
481,Nawalpur,343,84.06217377809206,27.687392178263675
482,Parasi,146,83.73871051466158,27.52825076350813
541,Rukum East,14,82.81088475092417,28.673989710571888
542,Rukum West,44,82.46045156349274,28.7388378634818
