mun_id,mun_en,cases,Latitude_mun,Longitude_mun
1005,Phaktanglung Rural Municipality,16,87.89713038573582,27.703009327937185
2006,Phidim Municipality,8,87.7993810728232,27.116915423950594
3004,Illam Municipality,86,87.90870574329287,26.93135717338353
4001,Arjundhara Municipality,3,87.98432673450942,26.704597483302194
4002,Barhadashi Rural Municipality,285,87.92856764427331,26.53454699029711
4013,Kankai Municipality,93,87.9055978966974,26.640525388698048
4015,Shivasataxi Municipality,13,87.8207531419584,26.612160675735968
5001,Belbari Municipality,827,87.43951603810595,26.62969614600504
5002,Biratnagar Metropolitan City,3,87.27721567619342,26.449432670637346
6009,Inaruwa Municipality,2,87.16242541190489,26.607115889285442
6010,Itahari Submetropolitan City,1,87.265018064324,26.672764169681074
6012,Ramdhuni Municipality,308,87.18064139435656,26.68763432925855
7002,Chhathar Jorpati Rural Municipality,1,87.38795098869879,27.02675855885569
7003,Dhankuta Municipality,16,87.32841461756054,26.983257910629447
8006,Phedap Rural Municipality,8,87.58461191530255,27.18039983580191
9004,Dharmadevi Municipality,10,87.3461680699328,27.20794091242241
9007,Makalu Rural Municipality,6,87.22505230303464,27.68477398983127
10003,Bhojpur Municipality,8,87.05811373206156,27.20199533561901
11003,Khumbupasanglahmu Rural Municipality,8,86.72677003185396,27.877545472383176
12006,Molung Rural Municipality,26,86.42803829335675,27.365482874738984
13009,Rupakot Majhuwagadhi Municipality,20,86.80263753312457,27.23312526566817
14007,Triyuga Municipality,107,86.69094015335081,26.806982643944444
15001,Agnisair Krishna Savaran Rural Municipality,1,86.79455389607583,26.64716812133527
15010,Khadak Municipality,1,86.60466497765024,26.640823601992693
15013,Rupani Rural Municipality,628,86.72973278492539,26.61272133910749
15015,Shambhunath Municipality,27,86.682106733291,26.63824335117853
16006,Dhangadhimai Municipality,243,86.41376322446955,26.81076349410961
16007,Golbazar Municipality,16,86.34391730300196,26.81478158475833
16012,Mirchaiya Municipality,1,86.25760605181807,26.835359873914808
16013,Naraha Rural Municipality,8,86.27986696982641,26.775199976536985
17006,Dhanusadham Municipality,979,86.04314032782091,26.87424894833693
17010,Janakpur Submetropolitan City,69,85.93437545503626,26.72577239446485
18001,Aurahi Municipality,1019,85.80074409187928,26.86596486524615
18003,Bardibas Municipality,1,85.85534241754173,27.036061768186634
18004,Bhangaha Municipality,8,85.87213489952481,26.849428532804986
18006,Gaushala Municipality,5,85.78159434842708,26.949544109345695
18012,Pipra Rural Municipality,1,85.86845813208659,26.694454186467343
18015,Sonama Rural Municipality,1,85.72299789757014,26.86700354688775
19006,Bramhapuri Rural Municipality,1,85.60990547152375,26.89026772692814
19007,Chakraghatta Rural Municipality,2,85.50982774228562,26.899993120092283
19008,Chandranagar Rural Municipality,32,85.60054713959347,26.93754702452161
19011,Haripur Municipality,819,85.54846832162977,27.011273406090712
19014,Ishworpur Municipality,90,85.69394436091471,27.00935086989303
19015,Kabilasi Municipality,23,85.53686748258716,26.941122897057863
19017,Lalbandi Municipality,1,85.68904014419991,27.10290856225777
20005,Kamalamai Municipality,45,85.93063021082966,27.187845631465844
21002,Gokulganga Rural Municipality,52,86.2642794743292,27.57639768484251
21006,Ramechhap Municipality,1,86.14646934984684,27.3161591924008
22003,Bigu Rural Municipality,21,86.15871758298346,27.935636983590022
23007,Jugal Rural Municipality,73,85.79108507481781,28.01549022064421
23010,Panchpokhari Thangpal Rural Municipality,1,85.6434792270682,28.01360488588887
24005,Dhulikhel Municipality,1,85.57227898142388,27.617968031784088
24009,Namobuddha Municipality,49,85.63978934638348,27.553225115713058
25003,Konjyosom Rural Municipality,219,85.35024096331719,27.530474358076816
26001,Bhaktapur Municipality,109,85.42961727474352,27.675017765984727
26002,Changunarayan Municipality,6,85.46272783458566,27.696268407473173
27001,Budhanilakantha Municipality,1520,85.36228522220023,27.772306087206783
27002,Chandragiri Municipality,1,85.2295513743239,27.68688537933637
27005,Kageshwori Manahora Municipality,2,85.41926836976558,27.73516334477805
27006,Kathmandu Metropolitan City,8,85.32727724898942,27.70902343245689
28002,Bidur Municipality,1,85.13607411896301,27.925868921501536
28010,Suryagadhi Rural Municipality,64,85.25259888321929,27.945382680835394
29001,Gosaikunda Rural Municipality,12,85.50734351475305,28.21228552400856
30008,Netrawati Rural Municipality,164,84.97160241247029,27.986687650336112
30009,Nilakantha Municipality,3,84.91955331595442,27.918863100056626
31003,Bhimphedi Rural Municipality,4,85.10444284405938,27.527813825189906
31006,Kailash Rural Municipality,1,84.94931669136135,27.609524587039328
31007,Makawanpurgadhi Rural Municipality,169,85.13690832892603,27.445252603556682
32002,Brindaban Municipality,1421,85.3957383757168,27.04443482848959
32003,Chandrapur Municipality,63,85.3682011827228,27.13891853923039
32009,Gujara Municipality,128,85.26957759976506,27.104939430760652
32011,Katahariya Municipality,6,85.25017991849543,26.995648061545413
32015,Phatuwa Bijayapur Municipality,1,85.20344867322662,27.020381339250857
33005,Jitpur Simara Submetropolitan City,348,85.00847428449086,27.20059459083887
33006,Kalaiya Submetropolitan City,6,85.00937157269544,27.02895433044889
33008,Kolhabi Municipality,9,85.14550122388373,27.104202763090978
33010,Nijgadh Municipality,2,85.13738520119351,27.234335736349557
34003,Birgunj Metropolitan City,6,84.8938666894952,27.082747393981148
34010,Parsagadhi Municipality,46,84.88952411259923,27.171023471765796
34011,Paterwasugauli Rural Municipality,1193,84.79020994347383,27.19324310047889
34013,SakhuwaPrasauni Rural Municipality,49,84.82559021222231,27.1667284576312
35001,Bharatpur Metropolitan City,203,84.38414657735042,27.652904896707692
36005,Dharche Rural Municipality,132,84.92502022637201,28.304694470044502
37006,Marsyangdi Rural Municipality,120,84.4162557903027,28.384473773011077
38005,Byas Municipality,206,84.28534820531407,28.01323544550567
38009,Rhishing Rural Municipality,1,84.21990368842532,27.898181939002146
39003,Bhirkot Municipality,355,83.77257323158817,28.03976384161088
39011,Waling Municipality,2,83.76688708060111,27.9843671752817
40002,Machhapuchchhre Rural Municipality,231,83.96112181892148,28.436111682180442
41002,Narphu Rural Municipality,1,84.23058194098726,28.769464700530698
42002,Dalome Rural Municipality,1,83.94338172740535,29.03508159267509
43003,Dhaulagiri Rural Municipality,1,83.34858840270462,28.62341121339088
43004,Malika Rural Municipality,1,83.35342150052003,28.41940102928327
43006,Raghuganga Rural Municipality,50,83.51773981153626,28.532936172778825
44003,Kushma Municipality,103,83.70427517630448,28.231637104462237
